epoch,accuracy,loss,val_accuracy,val_loss
0,0.8861666917800903,0.407106876373291,0.9248999953269958,0.2633768916130066
1,0.932283341884613,0.24313117563724518,0.9381999969482422,0.22203269600868225
2,0.9413999915122986,0.21014830470085144,0.942799985408783,0.19811555743217468
3,0.947616696357727,0.1866476684808731,0.9473000168800354,0.1888113021850586
4,0.9519833326339722,0.17325036227703094,0.9524999856948853,0.1765695959329605
5,0.9550666809082031,0.16218309104442596,0.953499972820282,0.1774773895740509
6,0.957099974155426,0.15422259271144867,0.9549000263214111,0.16340197622776031
7,0.9600666761398315,0.14688251912593842,0.9541000127792358,0.16821418702602386
8,0.9617999792098999,0.14154094457626343,0.9564999938011169,0.1660570204257965
9,0.9626166820526123,0.13567517697811127,0.9567000269889832,0.16412082314491272
